
All device pins and their pinmux options

Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
D14,SDFM0_D0,,PR0_ECAP0_APWM_OUT,,,,,,,GPIO123,SDFM0_D0,,,,,,,
A16,SDFM0_CLK1,,PR0_PRU1_GPIO7,CPTS0_TS_SYNC,UART5_RTSn,PR0_IEP0_EDC_SYNC_OUT1,,I2C3_SDA,,GPIO124,SDFM0_CLK1,,,,,,,
D13,SDFM0_D1,,PR0_PRU1_GPIO17,,UART5_CTSn,PR0_IEP0_EDIO_DATA_IN_OUT30,,,,GPIO125,SDFM0_D1,,,,,,,
B15,SDFM0_CLK2,,UART5_TXD,,,,,I2C3_SCL,,GPIO126,SDFM0_CLK2,CHANNEL8,,,,,,
C13,SDFM0_D2,,UART5_RXD,,,,,,,GPIO127,SDFM0_D2,CHANNEL0,,,,,,
A15,SDFM0_CLK3,,MCAN3_TX,UART5_RXD,,,,,,GPIO128,SDFM0_CLK3,CHANNEL9,,,,,,
C14,SDFM0_D3,,MCAN3_RX,,,,,,,GPIO129,SDFM0_D3,CHANNEL1,,,,,,
B14,EQEP0_A,,UART4_RTSn,,,SPI4_CLK,,,,GPIO130,EQEP0_A,SDFM1_CLK0,,,,,,
A14,EQEP0_B,,UART4_CTSn,,,SPI4_CS0,,,,GPIO131,EQEP0_B,SDFM1_D0,,,,,,
C12,EQEP0_STROBE,,UART4_TXD,LIN4_TXD,,SPI4_D0,,,,GPIO132,EQEP0_STROBE,SDFM1_CLK1,CHANNEL2,,,,,
D11,EQEP0_INDEX,,UART4_RXD,LIN4_RXD,,SPI4_D1,,,,GPIO133,EQEP0_INDEX,SDFM1_D1,CHANNEL3,,,,,
B13,I2C0_SDA,,I2C0_SDA,,,,,,,GPIO134,EQEP2_A,SDFM1_CLK2,,,,,,
A13,I2C0_SCL,,I2C0_SCL,,,,,,,GPIO135,EQEP2_B,SDFM1_CLK3,,,,,,
B12,MCAN2_TX,,MCAN2_TX,UART1_RTSn,,,,,,GPIO136,EQEP2_STROBE,SDFM1_D2,,,,,,
A12,MCAN2_RX,,MCAN2_RX,UART2_RTSn,,,,,,GPIO137,EQEP2_INDEX,SDFM1_D3,,,,,,
M2,CLKOUT0,,CLKOUT0,,,,,,,GPIO138,,,,,,,,
C3,WARMRSTn,,WARMRSTn,,,,,,,,,,,,,,,
D4,SAFETY_ERRORn,,SAFETY_ERRORn,,,,,,,,,,,,,,,
C5,TDI,,TDI,,,,,,,,,,,,,,,
C4,TDO,,TDO,,,,,,,,,,,,,,,
D5,TMS,,TMS,,,,,,,,,,,,,,,
B3,TCK,,TCK,,,,,,,,,,,,,,,
R2,PORz,,PORz,,,,,,,,,,,,,,,
T1,XTAL_XI,,XTAL_XI,,,,,,,,,,,,,,,
R1,XTAL_XO,,XTAL_XO,,,,,,,,,,,,,,,
V15,ADC0_AIN0,,ADC0_AIN0,,,,,,,,,,,,,,,
U15,ADC0_AIN1,,ADC0_AIN1,,,,,,,,,,,,,,,
T14,ADC0_AIN2,,ADC0_AIN2,,,,,,,,,,,,,,,
U14,ADC0_AIN3,,ADC0_AIN3,,,,,,,,,,,,,,,
U13,ADC0_AIN4,,ADC0_AIN4,,,,,,,,,,,,,,,
R14,ADC0_AIN5,,ADC0_AIN5,,,,,,,,,,,,,,,
T11,ADC1_AIN0,,ADC1_AIN0,,,,,,,,,,,,,,,
U11,ADC1_AIN1,,ADC1_AIN1,,,,,,,,,,,,,,,
